"","EpisodeLines","Cumulative_episode","Season","Episode_no"
"29","(04:01) ⨂Leela: I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here.
",1,1,1
"30","(04:05) ⨂Fry: Can I ask you a question?
",1,1,1
"31","(04:07) ⨂Leela: As long as it's not about my eye.
",1,1,1
"32","(04:09) ⨂Fry: Uh...
",1,1,1
"33","(04:10) ⨂Leela: Is it about my eye?
",1,1,1
"34","(04:11) ⨂Fry: Sort of.
",1,1,1
"35","(04:13) ⨂Leela: Just ask the question.
",1,1,1
"36","(04:15) ⨂Fry: What's with the eye?
",1,1,1
"37","(04:16) ⨂Leela: I'm an alien, alright? Now let's drop the subject.
",1,1,1
"38","(04:19) ⨂Fry: Cool, an alien! Has your race taken over the Earth?
",1,1,1
"39","(04:22) ⨂Leela: No, I just work here.
",1,1,1
"40","(04:27) ⨂Fry: Wait a minute! Is that blimp accurate?
",1,1,1
"41","(04:30) ⨂Leela: Yep. It's December 31st, 2999.
",1,1,1
"42","(04:33) ⨂Fry: My God! A million years!
",1,1,1
"43","(04:37) ⨂Leela: I'm sure this must be very upsetting for you.
",1,1,1
"44","(04:39) ⨂Fry: Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.
",1,1,1
"45","(04:52) ⨂Leela: Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator.
",1,1,1
"46","(05:06) ⨂Leela: Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...
",1,1,1
"47","(05:12) ⨂Leela: ...great-great-great-great-great nephew.
",1,1,1
"48","(05:14) ⨂Fry: That's great! What's the little guy's name?
",1,1,1
"49","(05:16) ⨂Leela: Professor Hubert Farnsworth.
",1,1,1
"50","(05:19) ⨂Fry: Eurgh!
",1,1,1
"51","(05:21) ⨂Fry: Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser. [A buzzer buzzes.] What's that?
",1,1,1
"52","(05:30) ⨂Leela: Your permanent career assignment.
",1,1,1
"53","(05:33) ⨂Fry: Delivery boy? No! Not again! Please! Anything else!
",1,1,1
"54","(05:37) ⨂Leela: Take your hands off me! You've been assigned the job you're best at just like everyone else.
",1,1,1
"55","(05:41) ⨂Fry: What if I refuse?
",1,1,1
"56","(05:43) ⨂Leela: Then you'll be fired--
",1,1,1
"57","(05:44) ⨂Fry: Fine!
",1,1,1
"58","(05:45) ⨂Leela: Out of a cannon into the Sun!
",1,1,1
"59","(05:47) ⨂Fry: But I don't like being a delivery boy.
",1,1,1
"60","(05:49) ⨂Leela: Well that's tough! Lots of people don't like their jobs but we do them anyway. [She points at a poster of a man wearing a hardhat with the caption ""You Gotta Do What You Gotta Do"".] You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.
",1,1,1
"61","(06:03) ⨂Fry: Keep that thing away from me!
",1,1,1
"62","(06:11) ⨂Leela: Hold still, dammit. I don't have good depth perception! [She jumps at Fry, misses, and falls into a cryogenic freezer. It sets itself for 1000 years.] You've got until the count of five to let me out of here. One--
",1,1,1
"63","(06:25) ⨂Fry: See you in a thousand years! [He starts to walk out but hesitates. He walks back and changes the freeze time to five minutes.] You owe me one.
",1,1,1
"64","(06:48) ⨂Fry: Whoa!
",1,1,1
"65","Man #1: JFK Jr. Airport.
",1,1,1
"66","(07:07) ⨂Man #1: Radio City Mutant Hall.
",1,1,1
"67","(07:10) ⨂Fry: Cool! [He steps into the tube.] Um. Cross Town Express?
",1,1,1
"68","(07:38) ⨂Man #2: Pft! Tourist!
",1,1,1
"69","(07:45) ⨂Fry: Hey! A phone booth! I can call my nephew. [An impatient robot joins the queue behind him. It is more or less human-shaped, grey, with an antenna on top of its head.] Wow! A real live robot! Or is that some kind of cheesy New Year's costume?
",1,1,1
"70","(07:57) ⨂Bender: Bite my shiny metal ass.
",1,1,1
"71","(07:59) ⨂Fry: It doesn't look so shiny to me.
",1,1,1
"72","(08:01) ⨂Bender: Shinier than yours, meatbag!
",1,1,1
"73","(08:21) ⨂Bender: Listen, buddy, I'm in a hurry here. Let's try for a two-fer!
",1,1,1
"74","(08:28) ⨂Booth Voice: Please select mode of death: ""Quick and Painless"" or ""Slow and Horrible"".
",1,1,1
"75","(08:34) ⨂Fry: Yeah, I'd like to place a collect call.
",1,1,1
"76","(08:36) ⨂Booth Voice: You have selected: ""Slow and Horrible"".
",1,1,1
"77","(08:39) ⨂Bender: Great choice! [Knives, tasers and Jacob's Ladders come out from behind a hatch.] Bring it on, baby!
",1,1,1
"78","(08:50) ⨂Bender: C'mon, c'mon! Kill me already! By the way, my name's Bender!
",1,1,1
"79","(08:55) ⨂Fry: Help! What's happening?
",1,1,1
"80","(09:02) ⨂Booth Voice: You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008.
",1,1,1
"81","(09:10) ⨂Bender: Lousy, stinking rip-off! [He kicks the booth.] Well, I didn't have anything else planned for today. Let's go get drunk!
",1,1,1
"82","(09:22) ⨂Leela: Two, three-- Hey!
",1,1,1
"83","(09:25) ⨂Terry: [melodramatically] Welcome to the world of tomorrow!
",1,1,1
"84","(09:28) ⨂Leela: Shut up, Terry.
",1,1,1
"85","(09:30) ⨂Ipgee: This is unacceptable, Leela. You must find this Mr. Fry and install his chip.
",1,1,1
"86","(09:35) ⨂Leela: Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.
",1,1,1
"87","(09:40) ⨂Ipgee: Well that's your job, whether you like it or not. And it's my job to make you do your job whether I like it or not, which I do, very much! Now get to work! [Leela leaves. He puts his feet up on the desk.] Life is good!
",1,1,1
"88","(10:02) ⨂Fry: Why would a robot need to drink?
",1,1,1
"89","(10:04) ⨂Bender: I don't need to drink, I can quit anytime I want! [He belches fire.] So they made you a delivery boy, huh? Man, that's as bad as my job.
",1,1,1
"90","(10:14) ⨂Fry: Really? What do you do, Bender?
",1,1,1
"91","(10:16) ⨂Bender: I'm a bender. I bend girders, that's all I'm programmed to do.
",1,1,1
"92","(10:19) ⨂Fry: You any good at it?
",1,1,1
"93","(10:21) ⨂Bender: You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! [unsure] 31. [normal] But I couldn't go on living once I found out what the girders were for.
",1,1,1
"94","(10:35) ⨂Fry: What?
",1,1,1
"95","(10:36) ⨂Bender: Suicide booths! [He finishes his drink and swallows the bottle.] Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself.
",1,1,1
"96","(10:43) ⨂Fry: Wait! You're the only friend I have!
",1,1,1
"97","(10:46) ⨂Bender: You really want a robot for a friend?
",1,1,1
"98","(10:49) ⨂Fry: Yeah, ever since I was six.
",1,1,1
"99","(10:51) ⨂Bender: Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger.
",1,1,1
"100","(10:59) ⨂Fry: Oh, no, it's the Cyclops! [He crouches down behind Bender.] Don't look! Don't look!
",1,1,1
"101","(11:03) ⨂Bender: I'm not looking!
",1,1,1
"102","(11:11) ⨂Leela: This is officer 1B-DI requesting back-up.
",1,1,1
"103","(11:15) ⨂Smitty: We'll be there in five minutes.
",1,1,1
"104","(11:20) ⨂Bender: We can hide in here. It's free on Tuesdays!
",1,1,1
"105","(11:29) ⨂Nimoy: Welcome to the Head Museum. I'm Leonard Nimoy.
",1,1,1
"106","(11:33) ⨂Fry: Spock? Hey! Hey... Do the thing!
",1,1,1
"107","(11:36) ⨂Nimoy: I don't do that anymore.
",1,1,1
"108","(11:38) ⨂Fry: This is unbelievable! What do you heads do all day?
",1,1,1
"109","(11:42) ⨂Nimoy: We share our wisdom with those who seek it. It's a life of quiet dignity.
",1,1,1
"110","(11:47) ⨂Woman: Feeding time!
",1,1,1
"111","(11:58) ⨂Leela: Hmm. [She looks around and sees Fry and Bender hiding behind a shelf in amongst other assorted heads.] I'm sorry, Fry, but I have to install your career chip.
",1,1,1
"112","(12:10) ⨂Fry: Yeah, well, if you're sorry why are you doing it?
",1,1,1
"113","(12:12) ⨂Leela: It's my job. You gotta do what you gotta do! [Fry backs away and hits a shelf with the heads of US presidents on it.] Watch it!
",1,1,1
"114","(12:22) ⨂Nixon: That's it! You just made my list!
",1,1,1
"115","(12:26) ⨂Fry: Ow! Stop it! Down, boy! Bad president!
",1,1,1
"116","(12:29) ⨂Smitty: Alright, buddy, step away from the head!
",1,1,1
"117","(12:34) ⨂URL: I'm gonna get 24th century on his ass!
",1,1,1
"118","(12:41) ⨂Leela: Please, officers, there's no need to use force.
",1,1,1
"119","(12:45) ⨂URL: Let us handle this, weird-y.
",1,1,1
"120","(12:49) ⨂Leela: Oh, come on, he's just a poor kid from the Stupid Ages.
",1,1,1
"121","(12:53) ⨂Smitty: Keep your big nose out of this, eyeball!
",1,1,1
"122","(12:56) ⨂Leela: No-one makes fun of my nose.
",1,1,1
"123","(13:09) ⨂URL: Damn!
",1,1,1
"124","(13:10) ⨂Leela: You guys were totally out of control.
",1,1,1
"125","(13:12) ⨂Smitty: It's our job. We're peace officers.
",1,1,1
"126","(13:15) ⨂URL: Yeah, you know the law: You gotta do what you gotta do.
",1,1,1
"127","(13:22) ⨂Bender: Oh, we're trapped!
",1,1,1
"128","(13:27) ⨂Fry: Wait a second. You're a bender, right? We can get out of here if you just bend the bars.
",1,1,1
"129","(13:32) ⨂Bender: Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?
",1,1,1
"130","(13:38) ⨂Fry: Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
",1,1,1
"131","(13:43) ⨂Bender: I'll have to check my program ... yep.
",1,1,1
"132","(13:46) ⨂Leela: [from outside] Open up!
",1,1,1
"133","(13:48) ⨂Fry: C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots.
",1,1,1
"134","(13:56) ⨂Bender: You're full of crap, Fry! [He turns and a dangling wire catches on his antenna and electrocutes him.] You make a persuasive argument, Fry.
",1,1,1
"135","(14:09) ⨂Fry: Come on, Bender! You can do it.
",1,1,1
"136","(14:11) ⨂Bender: Can't ... I ... can't ... do ... it!
",1,1,1
"137","(14:16) ⨂Fry: Yes!
",1,1,1
"138","(14:18) ⨂Bender: You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!
",1,1,1
"139","(14:36) ⨂Fry: I don't know how you did that.
",1,1,1
"140","(14:44) ⨂Leela: Wait!
",1,1,1
"141","(14:45) ⨂Bender: [shouting] No, thanks.
",1,1,1
"142","(14:51) ⨂Bender: Looks like one of us will have to bend this grate.
",1,1,1
"143","(15:05) ⨂Fry: Good Lord! What is this?
",1,1,1
"144","(15:08) ⨂Bender: It's the decaying ruins of Old New York. Welcome home, pal!
",1,1,1
"145","(15:15) ⨂Fry: It's my old neighbourhood. Man, this brings back a lot of memories.
",1,1,1
"146","(15:20) ⨂Bender: Keep 'em to yourself, Pops!
",1,1,1
"147","(15:23) ⨂Fry: This is where I brought my girlfriend on our very first date.
",1,1,1
"148","(15:35) ⨂Fry: My God! She's gone. Everyone I ever knew or cared about is gone.
",1,1,1
"149","(15:40) ⨂Bender: Wait! There's someone you know!
",1,1,1
"150","(15:43) ⨂Fry: Oh, can't you leave me alone? I'm miserable enough already.
",1,1,1
"151","(15:47) ⨂Leela: Look, I know it's not much consolation but I understand how you feel.
",1,1,1
"152","(15:52) ⨂Fry: No, you don't. I've got no home, no family--
",1,1,1
"153","(15:55) ⨂Bender: No friends.
",1,1,1
"154","(15:56) ⨂Fry: My whole world is gone. You can't possibly understand what it feels like to be so alone.
",1,1,1
"155","(16:02) ⨂Leela: I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
",1,1,1
"156","(16:17) ⨂Fry: Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it. [He holds out his hand to Leela. She gets the implant gun ready. Fry cringes and looks away. The gun clicks but Fry feels nothing. He opens his eyes and sees Leela drop her own chip on the floor.] Your chip. What are you doing?
",1,1,1
"157","(16:37) ⨂Leela: Quitting.
",1,1,1
"158","(16:38) ⨂Fry: Why?
",1,1,1
"159","(16:39) ⨂Leela: Because I've always wanted to. I just never realised it before I met you.
",1,1,1
"160","(16:48) ⨂Fry: What is the matter with you?
",1,1,1
"161","(16:51) ⨂Bender: I just wanted to be part of the moment.
",1,1,1
"162","(16:53) ⨂Leela: Hey! He stole my ring!
",1,1,1
"163","(16:55) ⨂Bender: Sorry. [He hands Leela's ring back.] Well, that solves the mystery of the missing ring. This calls for a drink.
",1,1,1
"164","(17:03) ⨂Leela: I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
",1,1,1
"165","(17:09) ⨂Fry: Correction: We're unemployed but we have a doddering old relative to mooch off of.
",1,1,1
"166","(17:18) ⨂Clark: [on TV] Hello, I'm Dick Clark's head. Welcome to a special year 3000 edition of New Year's Rockin' Eve!
",1,1,1
"167","(17:30) ⨂Farnsworth: Who are you?
",1,1,1
"168","(17:31) ⨂Fry: I'm your dear old Uncle Fry.
",1,1,1
"169","(17:33) ⨂Farnsworth: I don't have an Uncle Fry.
",1,1,1
"170","(17:35) ⨂Bender: You do now!
",1,1,1
"171","(17:40) ⨂Farnsworth: By God, I am your nephew! This is absolutely incredible!
",1,1,1
"172","(17:45) ⨂Bender: Can we have some money?
",1,1,1
"173","(17:47) ⨂Farnsworth: Oh, my, no.
",1,1,1
"174","(17:50) ⨂Farnsworth: Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship! [He points in the general direction of a big green spaceship in a huge hangar next to the lab.] And here's where I keep assorted lengths of wire.
",1,1,1
"175","(18:02) ⨂Fry: Whoa! A real live spaceship!
",1,1,1
"176","(18:05) ⨂Farnsworth: I designed it myself. Let me show you some of the different lengths of wire I used.
",1,1,1
"177","(18:12) ⨂Smitty: [from outside] Attention, job deserters! Come out with your hands up. We have you partially surrounded.
",1,1,1
"178","(18:18) ⨂Fry: No!
",1,1,1
"179","(18:20) ⨂Nixon: Get those bums!
",1,1,1
"180","(18:22) ⨂Bender: Well, we're boned!
",1,1,1
"181","(18:24) ⨂Leela: Can't we get away in the ship?
",1,1,1
"182","(18:26) ⨂Farnsworth: I suppose it is technically possible. Though I am already in my pyjamas.
",1,1,1
"183","(18:37) ⨂Fry: I'll get us out of here.
",1,1,1
"184","(18:44) ⨂Farnsworth: Can anyone drive stick?
",1,1,1
"185","(18:46) ⨂Leela: I can. As long as I don't have to parallel park.
",1,1,1
"186","(18:57) ⨂URL: If they try to take off, give 'em an ass-ful of laser.
",1,1,1
"187","(19:04) ⨂Leela: Prepare for lift-off. Ten.
",1,1,1
"188","(19:06) ⨂Crowd: [chanting] Nine!
",1,1,1
"189","(19:07) ⨂Crowd: [chanting] Amania!
",1,1,1
"190","(19:09) ⨂Crowd: [chanting] Seven!
",1,1,1
"191","(19:10) ⨂Aliens: [chanting; in alien] Six.
",1,1,1
"192","(19:11) ⨂Terry: [dramatically] Five!
",1,1,1
"193","(19:13) ⨂Nimoy: Four.
",1,1,1
"194","(19:14) ⨂Farnsworth: Three.
",1,1,1
"195","(19:15) ⨂Bender: Two.
",1,1,1
"196","(19:16) ⨂Leela: One!
",1,1,1
"197","(19:17) ⨂Fry: Blast-off!
",1,1,1
"198","(19:26) ⨂Nixon: Fire! Fire!
",1,1,1
"199","(19:30) ⨂Smitty: I can't see nothing. Pretty though!
",1,1,1
"200","(19:44) ⨂Fry: So, I guess, without jobs, we'll be fugitives forever.
",1,1,1
"201","(19:47) ⨂Farnsworth: Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?
",1,1,1
"202","(19:54) ⨂Bender: New crew? W-What happened to the old crew?
",1,1,1
"203","(19:57) ⨂Farnsworth: Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?
",1,1,1
"204","(20:03) ⨂Fry: Yes! Yes! That's exactly the job I've always wanted!
",1,1,1
"205","(20:08) ⨂Leela: Thanks for the offer, Professor, but we don't have the proper career chips.
",1,1,1
"206","(20:12) ⨂Farnsworth: Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew.
",1,1,1
"207","(20:20) ⨂Fry: This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?
",1,1,1
"208","(20:26) ⨂Farnsworth: If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research.
",1,1,1
"209","(20:34) ⨂Fry: Cool! What's my job gonna be?
",1,1,1
"210","(20:36) ⨂Farnsworth: You will be responsible for ensuring that the cargo reaches its destination.
",1,1,1
"211","(20:41) ⨂Fry: So, I'm gonna be a delivery boy?
",1,1,1
"212","(20:44) ⨂Farnsworth: Exactly!
",1,1,1
"213","(20:46) ⨂Fry: Alright! I'm a delivery boy!
",1,1,1
"214","(00:04) ⨂Farnsworth: As new employees, I'd like your opinion on our commercial. I paid to have it air during the Super Bowl.
",2,1,2
"215","(00:10) ⨂Fry: Wow!
",2,1,2
"216","(00:11) ⨂Farnsworth: Not on the same channel, of course.
",2,1,2
"217","(00:15) ⨂Announcer: [voice-over; on screen] Interplanetary deliveries - what a headache!
",2,1,2
"218","(00:18) ⨂Horrible Gelatinous Blob: [on screen] Evans! Where's that package from Earth?
",2,1,2
"219","(00:20) ⨂Man: [on screen] Uh... [Horrible Gelatinous Blob eats him. The man is suspended in the creature's translucent body.] [shouting] I'm not Evans!
",2,1,2
"220","(00:25) ⨂Horrible Gelatinous Blob: [on screen] He should've used Planet Express!
",2,1,2
"221","(00:29) ⨂Announcer: [voice-over; on screen] When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery.
",2,1,2
"222","(00:39) ⨂Evans: [on screen] Here's your package, Mr. Horrible Gelatinous Blob.
",2,1,2
"223","(00:42) ⨂Horrible Gelatinous Blob: [on screen] Good work, Evans! You've got a future around here.
",2,1,2
"224","(00:48) ⨂Evans: [on screen] Thank you, sir!
",2,1,2
"225","(00:50) ⨂Announcer: [voice-over; on screen] Planet Express: Our crew is replaceable. Your package isn't.
",2,1,2
"226","(00:56) ⨂Fry: Are there really giant birds like that?
",2,1,2
"227","(00:58) ⨂Farnsworth: No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs.
",2,1,2
"228","(01:47) ⨂Fry: I'm never going to get used to the 31st century. [He points to his breakfast.] Caffinated bacon? Baconated grapefruit? Admiral Crunch?
",2,1,2
"229","(01:54) ⨂Leela: Well, if you don't like that, try some Archduke Chocula.
",2,1,2
"230","(01:58) ⨂Farnsworth: Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you.
",2,1,2
"231","(02:07) ⨂Hermes: Someone come and dropped this package through the slot last night. Now which one of you is the captain?
",2,1,2
"232","(02:12) ⨂Farnsworth: Oh, my! I haven't picked a new captain yet. It's always so hard to choose.
",2,1,2
"233","(02:17) ⨂Fry: Ooh! Ooh, ooh, ooh!
",2,1,2
"234","(02:22) ⨂Farnsworth: Hmm, you!
",2,1,2
"235","(02:26) ⨂Hermes: OK, Captain, this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen.
",2,1,2
"236","(02:33) ⨂Leela: [reading] Death by airlock failure.
",2,1,2
"237","(02:34) ⨂Hermes: Mm.
",2,1,2
"238","(02:35) ⨂Leela: [reading] Death by brain parasite.
",2,1,2
"239","(02:36) ⨂Hermes: Yeah.
",2,1,2
"240","(02:37) ⨂Leela: [reading] Death by sonic diarrhoea?
",2,1,2
"241","(02:38) ⨂Hermes: [chuckling] Oh, you don't want that!
",2,1,2
"242","(02:40) ⨂Leela: Look, I don't know about any of your previous captains but I intend to do as little dying as possible.
",2,1,2
"243","(02:46) ⨂Hermes: Sign the paper!
",2,1,2
"244","(02:48) ⨂Farnsworth: Now, Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little ... unusual. [whispering] He wears sandals!
",2,1,2
"245","(03:01) ⨂Fry: Hi--
",2,1,2
"246","(03:02) ⨂Farnsworth: Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical.
",2,1,2
"247","(03:06) ⨂Zoidberg: Excellent, excellent!
",2,1,2
"248","(03:11) ⨂Farnsworth: You'll be fine.
",2,1,2
"249","(03:15) ⨂Zoidberg: Now open your mouth and let's have a look at that brain. [Fry opens his mouth.] No, no, no, no, no, not that mouth!
",2,1,2
"250","(03:20) ⨂Fry: I only have one.
",2,1,2
"251","(03:22) ⨂Zoidberg: Really?
",2,1,2
"252","(03:24) ⨂Fry: Uh, is there a human doctor around?
",2,1,2
"253","(03:26) ⨂Zoidberg: Young lady, I'm an expert on humans. Now pick a mouth, open it and say... [He makes a weird noise. Fry clears his throat and tries to imitate him but fails.] What? My mother was a saint! Get out!
",2,1,2
"254","(03:45) ⨂Farnsworth: Dear Lord, Bender, you're filthy.
",2,1,2
"255","(03:47) ⨂Bender: Yeah, like you don't have crap in your neck!
",2,1,2
"256","(03:50) ⨂Farnsworth: Amy, why don't you give his body a going over with the cleaning pick?
",2,1,2
"257","(03:54) ⨂Amy: OK. Does it hurt when I go like this?
",2,1,2
"258","(03:57) ⨂Leela: Ow!
",2,1,2
"259","(03:58) ⨂Bender: A little.
",2,1,2
"260","(03:59) ⨂Fry: Well, the doctor says I'm as healthy as a crab. Can I go into space now?
",2,1,2
"261","(04:03) ⨂Farnsworth: As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. [whispering] I like having her around because she's the same blood type as me.
",2,1,2
"262","(04:14) ⨂Amy: Hey! You're the unfrozen guy! From the 20th century, right?
",2,1,2
"263","(04:19) ⨂Fry: [chuffed] Last time I checked.
",2,1,2
"264","(04:20) ⨂Leela: Hang on. Amy Wong? Of the Mars Wongs?
",2,1,2
"265","(04:23) ⨂Amy: Look, we're not as rich as everybody says.
",2,1,2
"266","(04:26) ⨂Leela: Uh-huh! What sorority do you belong to?
",2,1,2
"267","(04:28) ⨂Amy: [ashamed] Kappa Kappa Wong.
",2,1,2
"268","(04:30) ⨂Bender: Hey, rich girl. Look over here! It's me, Bender. I'm being entertaining. [His body reaches into Amy's back pocket, takes out her wallet and empties the money into his neck.] [singing] Look at my head. It's all painted! Look at my head! I got a big, old head, hey! Ho! [His body replaces the wallet and signals an all clear] [talking] Alright, show's over, I'm tired.
",2,1,2
"269","(04:44) ⨂Farnsworth: Ah, to be young again. And also a robot. Now, as I recall, you youngsters have a package to deliver.
",2,1,2
"270","(04:51) ⨂Fry: Finally! Come on, Bender. Let's mosey!
",2,1,2
"271","(04:57) ⨂Bender: Nice catch, idiot!
",2,1,2
"272","(05:04) ⨂Fry: So where are we going anyway?
",2,1,2
"273","(05:05) ⨂Leela: Nowhere special. The moon.
",2,1,2
"274","(05:07) ⨂Fry: The moon? The moon moon? Wow! I'm gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of!
",2,1,2
"275","(05:15) ⨂Amy: Oh, I love stuff like the moon! Can I come, Leela?
",2,1,2
"276","(05:18) ⨂Leela: Well ... I guess so. Just be careful. I'd like to hold off any major screw-ups until at least my second day as captain.
",2,1,2
"277","(05:25) ⨂Farnsworth: Nothing will go wrong. [He leans over to Leela.] [whispering] If something goes wrong, bring back the blood.
",2,1,2
"278","(05:37) ⨂Fry: Can I do the countdown?
",2,1,2
"279","(05:39) ⨂Leela: Huh? Oh, sure. Knock yourself out.
",2,1,2
"280","(05:41) ⨂Fry: Ten ... [The ship takes off, clears the atmosphere and approaches the moon.] ... nine--
",2,1,2
"281","(05:43) ⨂Leela: OK, we're here!
",2,1,2
"282","(05:44) ⨂Fry: [awestruck] Eightsevensixfivefourthreetwooneblastoff!
",2,1,2
"283","(05:55) ⨂Fry: Hurry up! I wanna see the moon!
",2,1,2
"284","(05:57) ⨂Leela: Relax. It's open till 9.
",2,1,2
"285","(05:59) ⨂Fry: That's one small step for Fry--
",2,1,2
"286","(06:02) ⨂Man: And one giant line for admission!
",2,1,2
"287","(06:06) ⨂Fry: Wow! [He turns to the man.] Um, can I have cuts?
",2,1,2
"288","(06:09) ⨂Man: Hmm ... no!
",2,1,2
"289","(06:16) ⨂Fry: You're not gonna believe this but they landed an amusement park on the moon!
",2,1,2
"290","(06:20) ⨂Amy: Guh! It's the happiest place orbiting Earth.
",2,1,2
"291","(06:23) ⨂Fry: Let's go, already!
",2,1,2
"292","(06:24) ⨂Leela: Fry, we have a crate to deliver.
",2,1,2
"293","(06:27) ⨂Fry: Let's just dump it in the sewer and say we delivered it.
",2,1,2
"294","(06:29) ⨂Bender: Too much work. Let's burn it and say we dumped it in the sewer.
",2,1,2
"295","(06:32) ⨂Leela: OK, if everyone's finished being stupid--
",2,1,2
"296","(06:35) ⨂Fry: I had more but you go ahead.
",2,1,2
"297","(06:37) ⨂Leela: We'll deliver that crate like professionals and then we'll go home.
",2,1,2
"298","(06:40) ⨂Fry: But I've never been to the moon before.
",2,1,2
